     17092        255   1361743375   40.62   5.15   40.44   5.15   -0.45   0.72   0 	  0      0       0      -0.41   0.79
     17122        255   1362019869   53.31  14.97   53.31  14.97   -0.45   0.72   0       0      0       0      -0.41   0.79
     17133        255   1362191400   37.77   8.87   37.77   8.87   -0.45   0.72   56.56   4.72   56.56   4.72   -0.41   0.79
     17135        255   1362203254   48.33   4.49   48.01   4.49   -0.45   0.72   58.40   4.93   58.40   4.93   -0.41   0.79
     17137        255   1362212496   65.99   3.35   69.13   3.04   -0.94   0.37   54.76   3.87   58.76   3.61   -1.07   0.43
     17156        255   1362350405   55.21   2.61   54.63   2.11    0.65   0.40   54.25   6.54   61.17   6.36   -1.83   0.85
     17159        255   1362387112   53.60   3.31   53.60   3.31   -0.45   0.72   62.33   6.30   62.33   6.30   -0.41   0.79
     17164        255   1362439964   57.85   3.05   57.85   3.05   -0.45   0.72   60.14   4.91   60.14   4.91   -0.41   0.79
     17169        255   1362475086   53.23   4.16   56.46   3.41   -0.81   0.91   58.74   4.00   61.59   3.87   -1.06   0.55
     17172        255   1362526791   52.55   3.85   53.31   3.85   -0.45   0.72   59.96   4.02   59.91   4.02   -0.41   0.79
     17175        255   1362551603   53.29   4.41   51.58   3.42    0.41   0.60   50.64   3.31   57.59   2.91   -1.61   0.43
     17178        255   1362628225   48.54   6.52   52.03   5.60    0.23   1.10   48.80   4.43   51.69   4.48   -2.20   0.84
     17183        255   1362689090   57.07   3.21   56.70   3.21   -0.45   0.72   49.28   3.55   49.28   3.55   -0.41   0.79
     17186        255   1362713876   48.46   3.46   45.50   2.83    0.47   0.43   56.69   2.73   56.15   2.42   -0.33   0.30
     17201        255   1362891055   51.07   4.09   54.29   3.44   -0.95   0.52   47.69   3.38   52.43   2.88   -1.10   0.45
     17202        255   1362939678   50.01  13.31   52.59  11.20   -0.96   2.06   41.11   9.05   36.51   7.64    0.79   1.36
     17203        255   1362967072   54.68   8.32   58.45   7.40    0.74   0.88   47.41   1.95   49.88   1.89   -1.30   0.88
     17205        255   1362998281   47.74   3.84   48.11   3.02   -0.31   0.69   48.39   7.00   48.19   7.00   -0.41   0.79
     17209        255   1363049580   47.53   3.33   47.35   2.82   -0.20   0.40   46.11   5.56   47.76   4.30   -0.39   0.81
     17217        255   1363127396   49.46   3.36   47.81   3.36   -0.45   0.72   40.16   6.60   40.06   6.60   -0.41   0.79
     17218        255   1363138126   50.28   3.39   52.28   2.96   -0.46   0.45   50.98   6.69   52.90   5.47   -1.01   1.05
     17219        255   1363171024   55.07   3.32   54.83   3.32   -0.45   0.72   53.05   5.47   52.84   5.47   -0.41   0.79
     17222        255   1363231494   55.29   3.11   56.83   2.88   -0.79   0.32   50.85   3.01   57.32   3.06   -1.61   0.28
     17223        255   1363265242   53.58   3.70   53.77   3.11    0.83   1.09   51.41   3.65   53.42   3.61   -1.77   1.14
     17232        255   1363343159   53.04   3.82   56.85   3.21   -0.78   0.39   42.91   4.73   54.38   5.20   -1.44   0.34
     17236        255   1363428156   50.41   3.77   52.42   3.17   -1.05   0.61   46.08   4.04   54.18   4.48   -3.08   0.56
     17237        255   1363456970   52.86   3.54   53.82   3.06   -0.71   0.52   44.24   3.10   52.56   3.16   -2.65   0.42
     17238        255   1363494690   50.06   3.68   51.71   3.12   -0.46   0.57   45.69   3.43   54.59   3.55   -2.40   0.45
     17239        255   1363523374   48.33   3.64   51.20   3.03   -0.95   0.57   42.74   3.03   48.35   3.01   -2.15   0.40
     17240        255   1363557504   49.71   3.84   51.31   3.19   -0.18   0.55   47.06   3.03   47.29   2.74   -0.48   0.35
     17241        255   1363590995   49.59   3.78   47.61   3.05    0.19   0.55   55.83   3.33   58.61   2.87   -0.92   0.43
     17244        255   1363632755   52.85   3.79   50.95   3.06    0.40   0.65   51.61   2.90   51.93   2.60   -0.89   0.44
     17247        255   1363679916   50.50   4.15   49.85   3.37    0.04   0.65   52.59   2.81   54.49   2.46   -0.50   0.39
     17248        255   1363712706   48.82   4.02   52.65   3.47   -1.63   0.63   48.75   2.75   51.68   2.50   -1.37   0.39
     17250        255   1363751050   49.63   3.64   48.82   2.97    0.19   0.46   55.39   3.15   59.22   2.86   -0.82   0.35
     17253        255   1363846263   53.44   3.67   55.08   3.13   -0.87   0.58   56.35   3.11   54.91   2.70   -0.16   0.45
     17256        255   1363932238   55.77   4.13   56.22   3.33   -0.53   1.15   56.93   3.66   60.39   3.11   -1.85   0.97
     17261        255   1363995369   54.42   3.75   52.94   3.75   -0.45   0.72   60.25   4.05   57.87   4.05   -0.41   0.79
     17263        255   1364039117   54.91   4.35   54.64   3.61   -0.19   0.52   58.32   3.53   66.22   3.28   -1.18   0.40
     17266        255   1364092768   55.90   1.73   55.90   1.73   -0.45   0.72   60.26   2.08   60.26   2.08   -0.41   0.79
     17267        255   1364101797   54.81   1.76   54.81   1.76   -0.45   0.72   54.39   1.80   54.39   1.80   -0.41   0.79
     17268        255   1364109990   63.85   4.10   60.77   3.53    0.47   0.56   53.64   4.80   60.75   4.21   -1.27   0.73
     17269        255   1364139083   55.45   3.19   53.77   2.72    0.11   0.47   54.09   3.51   55.32   2.95    0.15   0.54
     17273        255   1364199731   56.41   5.15   58.45   3.57   -0.52   1.02   56.14   5.03   54.62   3.04    0.22   1.08
     17276        255   1364244018   56.63   3.01   58.59   3.01   -0.45   0.72   57.76   3.81   56.94   3.81   -0.41   0.79
